name,address,cuisine,style,price,source,notes,lat,lng,visited,my_rating,google_rating
Great N.Y. Noodletown,"28 Bowery, New York, NY",Chinese,casual,$,NYT 100 Best 2025,Best roast duck - BYO wine,40.714973,-73.997093,,,
The Grill,"99 East 52nd Street, New York, NY",American,formal,$$$$,NYT 100 Best 2025,Quintessential NY dining room,40.758095,-73.972022,,,
Hainan Chicken House,"4807 8th Avenue, Brooklyn, NY",Malaysian,casual,$$,NYT 100 Best 2025,Hainanese chicken rice - rice is the star,40.640830,-74.000580,,,
Hamburger America,"51 MacDougal Street, New York, NY",Diner Sandwich,casual,$$,NYT 100 Best 2025,New - Oklahoma fried onion burger,40.729460,-74.000250,,,
Hellbender,"68-22 Forest Avenue, Ridgewood, NY",Mexican,casual,$$,NYT 100 Best 2025,New - Fine-dining Mexican in Queens,40.702979,-73.901382,,,
Ho Foods,"110 East 7th Street, New York, NY",Taiwanese,casual,$,NYT 100 Best 2025,Beef noodle soup to bathe in,40.726350,-73.984764,,,
Houseman,"508 Greenwich Street, New York, NY",New American,formal,$$$$,NYT 100 Best 2025,Chef catches his own fish,40.725721,-74.009390,,,
Jean-Georges,"1 Central Park West, New York, NY",French Tasting,formal,$$$$,NYT 100 Best 2025,Four stars overlooking Central Park,40.769147,-73.981540,,,
Jeju Noodle Bar,"679 Greenwich Street, New York, NY",Korean,casual,$$$,NYT 100 Best 2025,New - Pristine ramyun bowls,40.733037,-74.007343,,,
Jungsik,"2 Harrison Street, New York, NY",Korean,formal,$$$$,NYT 100 Best 2025,New - Pioneer of Korean fine dining,40.717830,-74.009440,,,
Keens,"72 West 36th Street, New York, NY",Steakhouse,formal,$$$,NYT 100 Best 2025,New - 140-year-old mutton chop legend,40.750773,-73.986409,,,
Kisa,"96 Suffolk Street, New York, NY",Korean,casual,$$,NYT 100 Best 2025,Korean on the Lower East Side,40.718985,-73.985971,,,
Koloman,"16 West 29th Street, New York, NY",French Viennese,casual,$$$,NYT 100 Best 2025,French meets Viennese,40.745873,-73.988444,,,
Kono,"59 Chrystie Street, New York, NY",Japanese Tasting,formal,$$$$,NYT 100 Best 2025,New - Japanese tasting in Chinatown,40.716727,-73.994655,,,
Kopitiam,"151 East Broadway, New York, NY",Malaysian,casual,$$,NYT 100 Best 2025,Malaysian coffee shop,40.713797,-73.990897,,,
Laghman Express,"1821 86th Street, Brooklyn, NY",Uyghur,casual,$,NYT 100 Best 2025,Uyghur hand-pulled noodles,40.606988,-74.002029,,,
Lakruwana,"668 Bay Street, Staten Island, NY",Sri Lankan,casual,$$,NYT 100 Best 2025,Sri Lankan in Staten Island,40.625726,-74.075293,,,
Le Coucou,"138 Lafayette Street, New York, NY",French,formal,$$$$,NYT 100 Best 2025,New - Classic French in SoHo,40.719085,-74.000140,,,
Le Veau d'Or,"129 East 60th Street, New York, NY",French,formal,$$$,NYT 100 Best 2025,New - Classic French bistro,40.763221,-73.968087,,,
Levant,"30-06 34th Street, Astoria, NY",Middle Eastern,casual,$$,NYT 100 Best 2025,New - Middle Eastern in Astoria,40.757580,-73.921730,,,
Lilia,"567 Union Avenue, Brooklyn, NY",Italian,casual,$$$,NYT 100 Best 2025,New - Italian in Williamsburg,40.717616,-73.952401,,,
Little Myanmar,"103 East 9th Street, New York, NY",Burmese,casual,$,NYT 100 Best 2025,New - Burmese in East Village,40.729920,-73.988680,,,
Lola's,"30 West 22nd Street, New York, NY",Asian Southern,casual,$$$,NYT 100 Best 2025,New - Asian meets Southern,40.741350,-73.991620,,,
Lucia Pizza of Avenue X,"1659 Avenue X, Brooklyn, NY",Pizza,fast,$,NYT 100 Best 2025,Brooklyn pizza classic,40.592463,-73.953566,,,
Mắm,"114 Orchard Street, New York, NY",Vietnamese,casual,$$,NYT 100 Best 2025,Vietnamese on the LES,40.719220,-73.989750,,,
Okdongsik,"12 West 32nd Street, New York, NY",Korean,casual,$$,NYT 100 Best 2025,New - Korean in Koreatown,40.746733,-73.984652,,,
Okiboru House of Tsukemen,"144 Orchard Street, New York, NY",Japanese,casual,$$,NYT 100 Best 2025,New - Tsukemen specialist,40.720434,-73.988939,,,
Old Sport,"72-07 Austin Street, Forest Hills, NY",Chinese Halal,casual,$$,NYT 100 Best 2025,New - Chinese halal in Queens,40.719345,-73.842351,,,
Raf's,"281 Lafayette Street, New York, NY",French Italian,casual,$$$,NYT 100 Best 2025,French-Italian in NoHo,40.723928,-73.995978,,,
Raku,"342 East 6th Street, New York, NY",Japanese,casual,$$,NYT 100 Best 2025,Japanese udon specialist,40.726471,-73.986646,,,
Randazzo's Clam Bar,"2017 Emmons Avenue, Brooklyn, NY",Italian American Seafood,casual,$$,NYT 100 Best 2025,Classic clam bar,40.583897,-73.947646,,,
S & P Lunch,"12 East 17th Street, New York, NY",Diner Deli Sandwich,casual,$,NYT 100 Best 2025,Flatiron lunch counter,40.737380,-73.990120,,,
Sailor,"160 DeKalb Avenue, Brooklyn, NY",American English Mediterranean,casual,$$$,NYT 100 Best 2025,New - Fort Greene neighborhood spot,40.689586,-73.974276,,,
Salty Lunch Lady's Little Luncheonette,"60-07 Myrtle Avenue, Ridgewood, NY",Sandwiches,fast,$,NYT 100 Best 2025,Ridgewood sandwich shop,40.700682,-73.898064,,,
Shaw-naé's House,"668 Bay Street, Staten Island, NY",American Soul Food,casual,$$,NYT 100 Best 2025,Soul food in Staten Island,40.625726,-74.075293,,,
Shukette,"75 Ninth Avenue, New York, NY",Middle Eastern,casual,$$,NYT 100 Best 2025,New - Middle Eastern in Chelsea,40.742230,-74.004580,,,
Sofreh,"75 St. Marks Avenue, Brooklyn, NY",Middle Eastern,casual,$$$,NYT 100 Best 2025,Homey Persian restaurant,40.679872,-73.973974,,,
Superiority Burger,"119 Avenue A, New York, NY",Diner Vegetarian,casual,$,NYT 100 Best 2025,New - Legendary veggie burger,40.726501,-73.983564,,,
Sushi Noz,"181 East 78th Street, New York, NY",Sushi Omakase,formal,$$$$,NYT 100 Best 2025,New - UES omakase,40.773871,-73.958118,,,
Sushi Ouji,"40 Mercer Street, New York, NY",Sushi Omakase,formal,$$$$,NYT 100 Best 2025,New - SoHo omakase,40.721204,-74.000948,,,
Taiwanese Gourmet,"84-02 Broadway, Elmhurst, NY",Taiwanese,casual,$,NYT 100 Best 2025,Taiwanese in Elmhurst,40.739853,-73.878617,,,
Temple Canteen,"143-09 Holly Avenue, Flushing, NY",Indian,casual,$,NYT 100 Best 2025,New - Indian in Flushing,40.751680,-73.821920,,,
Thai Diner,"186 Mott Street, New York, NY",Thai,casual,$$,NYT 100 Best 2025,New - Thai diner concept,40.720744,-73.995702,,,
Third Falcon,"215 DeKalb Avenue, Brooklyn, NY",French American,casual,$$$,NYT 100 Best 2025,French-American in Fort Greene,40.689683,-73.970855,,,
Torrisi,"275 Mulberry Street, New York, NY",Italian,formal,$$$$,NYT 100 Best 2025,Italian fine dining in NoLita,40.724217,-73.995400,,,
Trinciti Roti Shop,"131-01 Rockaway Boulevard, South Ozone Park, NY",Trinidadian and Tobagonian,fast,$,NYT 100 Best 2025,Trinidadian roti,40.678450,-73.812530,,,
Txikito,"240 Ninth Avenue, New York, NY",Spanish,casual,$$,NYT 100 Best 2025,Basque tapas in Chelsea,40.746890,-74.001350,,,
Una Pizza Napoletana,"175 Orchard Street, New York, NY",Pizza,casual,$$,NYT 100 Best 2025,Neapolitan pizza master,40.721758,-73.988636,,,
Via Carota,"51 Grove Street, New York, NY",Italian,casual,$$$,NYT 100 Best 2025,West Village Italian institution,40.733098,-74.003691,,,
Village Café,"528 Avenue U, Brooklyn, NY",Azerbaijani,casual,$$,NYT 100 Best 2025,New - Azerbaijani in Brooklyn,40.597644,-73.966451,,,
White Bear,"135-02 Roosevelt Avenue, Flushing, NY",Chinese,fast,$,NYT 100 Best 2025,Famous wontons,40.758732,-73.831614,,,
Yoon Haeundae Galbi,"8 West 36th Street, New York, NY",Korean,casual,$$$,NYT 100 Best 2025,Korean BBQ in Koreatown,40.749856,-73.984494,,,
Zaab Zaab,"76-04 Woodside Avenue, Elmhurst, NY",Thai,casual,$$,NYT 100 Best 2025,Isaan Thai food,40.745130,-73.893780,,,
